PB Part Number,Manufacturers Code,Product Name,Bulk Stock,Your Price,Category,Brand
ADP8WR0101,GC-DPHDMI,8ware DP2HDMI DisplayPort to HDMI Adapter 1920x1200 full HD,30,15,Adapters,8Ware
ADP8WR0114,8WD-LS6U,8ware 6-port USB charging station 51W 3 x DC 5V 2.4A     3 x DC 5V 1A,2,28,Adapters,8Ware
ADP8WR0400,BD-400,8ware BD-400 Mini USB Bluetooth V4.0 Adapter Version 4.0,30,12,Adapters,8Ware
ADP8WR1012,CVT-HDMIVGA,8Ware CVT-HDMIVGA HDMI to VGA Converter without Power Adapter computer/DVD/Digital set-top box/laptop/mobile phone/digital camera/tablet pc/media player/a range of HD sources such as input devices. Audio and video signal to the T,30,37,Adapters,8Ware
ADPAOC0001,AOC-PE-1P,Megapower AOC-PE-1P PCI Express Single Parallel Port Card. Supplied with Low Profile & Standard Height  Brackets,1,42,Adapters,Megapower
ADPASU0001,90mc02c1-m0eay0,Asus Thunderbolt EX II Dual Expansion Card With Dual Display Port Support 4K,1,309,IO/SCSI/IDE/Card,ASUS
ADPATN0100,VB100,ATEN VanCryst VB100 VGA Booster (70m). VGA gain control.,2,59,Adapters,Aten
ADPATN0141,SA0141,Aten SA0141 RJ45 (F) to DB9 (F) DTE BLACK Connector,1,18,Adapters,Aten
ADPATN0144,SA0144,Aten SA0144 RJ45 (F) to DB25 (M) DCE BLACK Connector,2,17,Adapters,Aten
ADPATN0145,SA0145,Aten SA0145 RJ45 (F) to DB9 (M) DTE BLUE Connector,1,22,Adapters,Aten
ADPATN0160,VC160A,ATEN VanCryst VC160A VGA to DVI Converter up to 1080P (HDTV) or 1920x1200 (PC) Include 1.8m VGA cable,1,140.5,Adapters,Aten
ADPATN0180,VC180,ATEN VanCryst VC180 VGA-to-HDMI Converter with Audio 1080p Win&Mac Converts VGA signals to HDMI output w/built-in scaler &OSD for control,24,103,Adapters,Aten
ADPATN0325,0AD8-2605-24EG,ATEN 0AD8-2605-24EG AC Adapter (AU I:100V-240V  DC5.3V 2.4A )for             VS201  CE700A  CE252  VS162  VS164  VS182  VS184  VE150A  CS1642A  CS1732B  CS1734B  CS1708A  CS1782A  CS1784A  VS0202  VS0404  VS261  VS461  VS0116,2,8.5,Adapters,Aten
ADPATN0810,VC810,ATEN VanCryst VC810 HDMI TO VGA Converter Superior video quality   up to 1920 x 1200  1080p Supports wide    screen formats VGA  SVGA  XGA  SXGA   UXGA,15,21,Adapters,Aten
ADPATN0812,VC812,ATEN VanCryst VC812 HDMI to VGA Converter with Scaler -Converts HDMI signals to VGA output,1,132,Adapters,Aten
ADPATN0920,VC920,ATEN VanCryst VC920 Mini DisplayPort to VGA adapter  perfect for Apple Mac series products  including      MacBook  MacBook Pro  MacBook Air  Mac mini and Mac Pro,30,20,Adapters,Aten
ADPATN0925,VC925,ATEN VanCryst VC925 DisplayPort (M) to VGA(F)  Adapter,11,33,Adapters,Aten
ADPATN0960,VC960,ATEN VanCryst VC960 Mini DisplayPort to DVI Adapter  is perfect for Apple Mac series products  including   MacBook  MacBook Pro  MacBook Air  Mac mini and Mac Pro,30,16,Adapters,Aten
ADPATN0965,VC965,Aten VanCryst VC965 DisplayPort 1.1a (M) to DVI1.1 (F) adapter UXGA 1080P,30,34,Adapters,Aten
ADPATN0980,VC980,ATEN VanCryst VC980 Mini DisplayPort to HDMI Adapter w/Audio enabled for Apple Mac series products  including       MacBook MacBook Pro MacBook Air Mac mini &Mac Pro,30,16,Adapters,Aten
ADPATN0981,VC981,Aten VanCryst VC981 Mini DisplayPort 1.2 (M) to HDMI 1.4 (F) Active 4K2K Adapter Ultra High Definition UHD 3640 x 2160 pixel image HDCP 1.3,22,51,Adapters,Aten
ADPATN0985,VC985,ATEN VanCryst VC985 DisplayPort (M) to HDMI(F) adapter,10,34,Adapters,Aten
ADPATN0986,VC986,Aten VanCryst VC986 DisplayPort 1.2 (M) to HDMI 1.4 (F) Active 4K2K Active Adapter 3860X2160 HDCP 1.3,22,47,Adapters,Aten
ADPATN1080,VC080,ATEN VanCryst VC080 HDMI EDID Emulator designed to emulate and store the EDID of a video display  providing constant and reliable EDID data for the a HDMI source device to efficiently optimize video resolutio,1,99,Adapters,Aten
ADPATN2324,UC2324,ATEN UC2324 Serial adapter USB USB - RS-232 - 4 ports. RS232,8,67,Adapters,Aten
ADPATN2909,0AD8-2909-05EG,ATEN 0AD8-2909-05EG replacement ac Power adapter for FH300-AT VS-94A (100V-240V O:DC9V 550mA 5.5 2.1 12FR )VS132A/VS134A/VS138A CS1754  CS1758 CE250A   VS138A VS134A CE800B,1,5.5,Adapters,Aten
ADPATN3101,SN3101,ATEN SN3101  3-in-1 Serial Device Server 1-Port RS-232/422/485 supports RS-232 RS-422 and RS-485 data transfers,3,215,Adapters,Aten
ADPATN4852,UC4852,ATEN UC4852 2-Port USB-to-Serial RS422 485 Hub,1,76,Adapters,Aten
ADPATNEA1240,EA1240,Aten EA1240 Temperature & Humidity combo Sensors,3,29.5,Adapters,Aten
ADPATNUC-1284,UC1284B,ATEN UC1284B USB to IEEE-1284 Bi-directional Parallel Printer Cable LINUX compatible,11,18,Adapters,Aten
ADPATNUC-232A,UC232A,ATEN UC232A USB to RS232 Serial (RS-232) DB9 Convertor DB-9 Male 35cm works for PC Linux Mac android based smartphones PDAs  digital cameras modems Thermal printers &more.,30,19,Adapters,Aten
ADPCYP1011,HDMI12MP,CYP HDMI 1 in 2 out Splitter        HDMI  HDCP 1.1 and DVI 1.0 compliant.,2,143.83,Adapters,CYP
ADPCYP1024,VC-DVID-VGA,CYP DVI-D to VGA / Component        Active Converter. Max res 1920x1200,3,105.6,Adapters,CYP
ADPCYP1063,DCT-2,CYP DCT-2  Coaxial/Toslink Audio Converter,1,37.7,Adapters,CYP
ADPDIG7015,AK-300305-002-S,Digitus DK-300305-002-S USB micro to HDMI adapter with MHL technology 15cm Mobile High-Definition Link  Supports     1080p Full HD,16,26,Adapters,Digitus
ADPDIG7022,DK-340413-001-S,Digitus DisplayPort adapter  DP (Male) - HDMI type A (Female) Active   -GR7022,9,30.16,Adapters,Digitus
ADPDIG7035,DK-330301-002-W,Digitus Digitus HDMI (A) to VGA  Adapter cable .15m with Audio Support,30,21,Adapters,Digitus
ADPDIG7036,DK-330302-002-W,Digitus HDMI Mini (C) to VGA Adapter cable .15m with Audio Support,19,20,Adapters,Digitus
ADPDIG7037,DK-330303-002-W,Digitus HDMI Micro (D) to VGA Adapter cable .15m with Audio Support,23,26,Adapters,Digitus
